cartao_id,conta_id,numero_cartao_mascarado,bandeira,tipo_cartao,limite_total,limite_disponivel,status_cartao,data_emissao,updated_at,cdc_operation,cdc_sequence,cdc_event_at,source_batch
901,1203,**** **** **** 7132,MASTERCARD,CREDITO,33223.89,26834.49,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8001,2026-07-25T23:19:00,batch_002
902,1214,**** **** **** 7686,ELO,CREDITO,18255.92,13813.18,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8002,2026-07-25T23:19:00,batch_002
903,1202,**** **** **** 3402,VISA,DEBITO,32709.88,9610.48,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8003,2026-07-25T23:19:00,batch_002
904,1206,**** **** **** 9747,ELO,CREDITO,22059.41,19754.27,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8004,2026-07-25T23:19:00,batch_002
905,1206,**** **** **** 0424,MASTERCARD,CREDITO,46640.48,30437.28,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8005,2026-07-25T23:19:00,batch_002
906,1213,**** **** **** 5320,VISA,DEBITO,28167.93,11722.97,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8006,2026-07-25T23:19:00,batch_002
907,1202,**** **** **** 1923,MASTERCARD,MULTIPLO,23940.65,19990.69,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8007,2026-07-25T23:19:00,batch_002
908,1210,**** **** **** 9166,ELO,MULTIPLO,21251.96,9449.28,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8008,2026-07-25T23:19:00,batch_002
909,1211,**** **** **** 3717,MASTERCARD,DEBITO,7796.02,5696.25,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8009,2026-07-25T23:19:00,batch_002
910,1219,**** **** **** 5908,ELO,MULTIPLO,43528.21,36902.77,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8010,2026-07-25T23:19:00,batch_002
911,1211,**** **** **** 4675,MASTERCARD,MULTIPLO,19846.24,2591.06,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8011,2026-07-25T23:19:00,batch_002
912,1215,**** **** **** 7244,ELO,MULTIPLO,27233.16,22713.3,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8012,2026-07-25T23:19:00,batch_002
913,1206,**** **** **** 0454,ELO,DEBITO,49665.52,86.85,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8013,2026-07-25T23:19:00,batch_002
914,1204,**** **** **** 2671,ELO,CREDITO,28845.28,10857.76,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8014,2026-07-25T23:19:00,batch_002
915,1215,**** **** **** 8195,VISA,CREDITO,11579.77,10562.63,ATIVO,2026-07-25,2026-07-25T23:19:00,I,8015,2026-07-25T23:19:00,batch_002
172,1145,**** **** **** 0432,MASTERCARD,CREDITO,45595.53,11635.37,ATIVO,2025-06-22,2026-07-25T23:19:00,U,6001,2026-07-25T23:19:00,batch_002
150,301,**** **** **** 1538,VISA,DEBITO,48429.66,29836.57,BLOQUEADO,2024-04-24,2026-07-25T23:19:00,U,6002,2026-07-25T23:19:00,batch_002
556,822,**** **** **** 5710,VISA,DEBITO,51542.14,34347.82,ATIVO,2026-03-27,2026-07-25T23:19:00,U,6003,2026-07-25T23:19:00,batch_002
562,540,**** **** **** 2388,ELO,DEBITO,32436.84,26028.47,ATIVO,2025-03-29,2026-07-25T23:19:00,U,6004,2026-07-25T23:19:00,batch_002
667,478,**** **** **** 3444,VISA,MULTIPLO,5685.31,6204.87,ATIVO,2023-02-11,2026-07-25T23:19:00,U,6005,2026-07-25T23:19:00,batch_002
374,1074,**** **** **** 3251,ELO,CREDITO,8663.56,23958.66,ATIVO,2021-08-05,2026-07-25T23:19:00,U,6006,2026-07-25T23:19:00,batch_002
607,678,**** **** **** 2900,MASTERCARD,CREDITO,22935.24,17605.15,ATIVO,2024-10-21,2026-07-25T23:19:00,U,6007,2026-07-25T23:19:00,batch_002
652,228,**** **** **** 3229,ELO,DEBITO,18248.62,16533.77,ATIVO,2023-02-24,2026-07-25T23:19:00,U,6008,2026-07-25T23:19:00,batch_002
708,287,**** **** **** 2483,VISA,MULTIPLO,10639.52,305.65,ATIVO,2025-03-08,2026-07-25T23:19:00,U,6009,2026-07-25T23:19:00,batch_002
286,451,**** **** **** 3205,MASTERCARD,DEBITO,9934.55,36247.93,BLOQUEADO,2024-09-25,2026-07-25T23:19:00,U,6010,2026-07-25T23:19:00,batch_002
572,1135,**** **** **** 3669,MASTERCARD,DEBITO,34881.29,9993.2,ATIVO,2025-01-09,2026-07-25T23:19:00,U,6011,2026-07-25T23:19:00,batch_002
408,944,**** **** **** 9632,MASTERCARD,MULTIPLO,36118.61,12524.89,ATIVO,2022-05-02,2026-07-25T23:19:00,U,6012,2026-07-25T23:19:00,batch_002
594,505,**** **** **** 5991,VISA,CREDITO,57662.84,24566.97,ATIVO,2022-08-13,2026-07-25T23:19:00,U,6013,2026-07-25T23:19:00,batch_002
800,1101,**** **** **** 5593,VISA,DEBITO,36753.04,28365.61,ATIVO,2025-04-12,2026-07-25T23:19:00,U,6014,2026-07-25T23:19:00,batch_002
59,715,**** **** **** 7632,MASTERCARD,MULTIPLO,32571.83,22590.43,ATIVO,2022-04-15,2026-07-25T23:19:00,U,6015,2026-07-25T23:19:00,batch_002
696,294,**** **** **** 5960,VISA,DEBITO,15548.55,20063.79,ATIVO,2025-03-27,2026-07-25T23:19:00,U,6016,2026-07-25T23:19:00,batch_002
435,498,**** **** **** 7906,VISA,DEBITO,6730.42,6879.19,ATIVO,2025-01-30,2026-07-25T23:19:00,U,6017,2026-07-25T23:19:00,batch_002
77,1133,**** **** **** 9746,VISA,MULTIPLO,26716.69,12268.72,ATIVO,2021-07-25,2026-07-25T23:19:00,U,6018,2026-07-25T23:19:00,batch_002
86,1172,**** **** **** 7045,VISA,MULTIPLO,58435.93,34847.33,BLOQUEADO,2025-09-29,2026-07-25T23:19:00,U,6019,2026-07-25T23:19:00,batch_002
101,522,**** **** **** 1992,VISA,MULTIPLO,2743.76,35640.34,ATIVO,2024-04-28,2026-07-25T23:19:00,U,6020,2026-07-25T23:19:00,batch_002
95,1187,**** **** **** 1694,VISA,DEBITO,55704.74,4802.51,ATIVO,2025-04-07,2026-07-25T23:19:00,U,6021,2026-07-25T23:19:00,batch_002
255,1158,**** **** **** 8249,ELO,MULTIPLO,33345.75,38403.4,ATIVO,2026-04-23,2026-07-25T23:19:00,U,6022,2026-07-25T23:19:00,batch_002
226,501,**** **** **** 8631,MASTERCARD,DEBITO,42168.53,13451.17,BLOQUEADO,2026-02-21,2026-07-25T23:19:00,U,6023,2026-07-25T23:19:00,batch_002
765,1029,**** **** **** 2969,MASTERCARD,DEBITO,42130.73,5911.81,ATIVO,2022-01-16,2026-07-25T23:19:00,U,6024,2026-07-25T23:19:00,batch_002
728,23,**** **** **** 4493,VISA,DEBITO,27258.58,9180.81,BLOQUEADO,2022-03-30,2026-07-25T23:19:00,U,6025,2026-07-25T23:19:00,batch_002
769,362,**** **** **** 6172,VISA,DEBITO,11777.99,27251.76,BLOQUEADO,2022-08-21,2026-07-25T23:19:00,U,6026,2026-07-25T23:19:00,batch_002
753,628,**** **** **** 3962,MASTERCARD,DEBITO,49688.69,3657.33,ATIVO,2024-08-22,2026-07-25T23:19:00,U,6027,2026-07-25T23:19:00,batch_002
293,871,**** **** **** 1897,VISA,DEBITO,57422.62,10511.28,ATIVO,2023-10-22,2026-07-25T23:19:00,U,6028,2026-07-25T23:19:00,batch_002
658,1175,**** **** **** 0314,MASTERCARD,DEBITO,12778.9,22934.05,ATIVO,2025-12-14,2026-07-25T23:19:00,U,6029,2026-07-25T23:19:00,batch_002
561,407,**** **** **** 1529,VISA,MULTIPLO,36280.19,39794.13,ATIVO,2025-01-09,2026-07-25T23:19:00,U,6030,2026-07-25T23:19:00,batch_002
