estorno_id,transacao_id,valor_estorno,motivo_estorno,status_estorno,data_hora_estorno,observacao
6edd2d17-ec35-4f31-8b06-b27a8accec8f,8b601200-eab9-420d-a67f-a0c73af6fca1,323.66,CANCELAMENTO,NEGADO,2026-02-28T17:44:14,Commodi fugiat possimus quis laudantium.
be35f0f1-3790-42ae-af5a-40e4d79f34e0,d8aaca7a-a424-441f-8c03-4d71cb69e14e,5407.54,COMPRA_NAO_RECONHECIDA,SOLICITADO,2026-04-12T05:14:18,Aperiam asperiores cum deserunt.
5fd79a8c-755b-4a9f-a968-0edf078d6e46,f16f5ba2-146a-46e9-ab2c-13eb57538331,4520.1,COMPRA_NAO_RECONHECIDA,NEGADO,2026-07-25T23:12:28,Nostrum ab sint sit ea dicta.
d5c35dd1-d1a7-41fb-8e2f-caa3df01e32b,d1d0fc46-ceff-481c-be4d-ef823261575f,9716.34,CANCELAMENTO,SOLICITADO,2026-02-22T18:10:59,In tempora dolorum iure quasi minus animi.
6071086e-733c-4a18-a97d-4d7799670bc3,a69e4354-3238-44e0-b38b-118feccfcd27,649.94,COMPRA_NAO_RECONHECIDA,SOLICITADO,2026-05-14T19:09:12,Quibusdam ea sequi sequi.
438eb316-0483-4841-b79c-2c6bef370c90,84386248-df14-440a-af43-948a6e4ef7b4,11713.64,CANCELAMENTO,SOLICITADO,2026-03-09T16:45:12,Natus fugit nulla maiores voluptas libero.
5db6ec89-da79-4e36-a8a1-da155ab180ee,ba5f780c-3d1f-42ff-b68c-42cbbd125157,9228.45,CANCELAMENTO,NEGADO,2026-07-25T23:12:28,Nobis mollitia delectus harum.
05f4fe46-1d9b-4153-8c03-c1aeae39154d,dbd946ea-2207-4418-aac4-7833cca88f7b,12606.15,CANCELAMENTO,PROCESSADO,2026-07-25T23:12:28,Vero ut delectus eligendi tempore cumque.
3e4b5be2-a62e-4ad4-b99b-bc9441f0f4b9,9676efc9-31f5-4922-b87e-cdc52bcd5599,8271.15,CANCELAMENTO,PROCESSADO,2026-06-10T20:26:41,Inventore deserunt fuga.
81891545-dc2f-4046-99c8-8d134d7016b7,1aca78a6-24db-4a56-b776-7c62b8c2c73c,11170.37,CANCELAMENTO,PROCESSADO,2026-04-10T15:22:53,Enim ea corporis in molestias minus.
d333bbf0-44bf-4f19-aeca-910ded932c5e,5be079c8-0a17-4ce9-a108-4836da870c23,2528.64,COMPRA_NAO_RECONHECIDA,PROCESSADO,2026-04-11T14:09:40,Id soluta unde maxime.
89bab58c-a731-49e3-b2aa-f6dc5960f363,affc7d8b-1f05-4b00-911b-ac602e4bf033,3130.9,DUPLICIDADE,NEGADO,2026-03-10T00:25:17,Aliquid provident sint minus aut consequuntur.
3b34a2a4-d070-472d-ad8a-a392eee0ed63,7ccafc55-8ed9-40be-8d59-c9beb9239eb9,12830.72,DUPLICIDADE,PROCESSADO,2026-03-11T09:59:46,Repudiandae dolor tempore quo soluta voluptatibus quas corporis.
1cd6f3aa-ee6f-4b42-bbbc-69a919c631cb,37b9c7ed-82bf-47ea-b850-da834cd181c1,8235.58,CANCELAMENTO,SOLICITADO,2026-07-18T04:46:48,Quae nemo suscipit ratione sed.
d46b3538-c658-4643-a7b0-d6fee42f5d81,eb144cb7-3bf0-4cfa-bec2-06c2beb7b631,12832.82,PRODUTO_NAO_ENTREGUE,PROCESSADO,2026-07-15T10:55:11,Eligendi possimus sed rerum.
bfb7f967-32a3-491f-b955-fd29db11920a,0ec104b4-b70c-4293-bfca-07f4e6200131,14276.43,PRODUTO_NAO_ENTREGUE,PROCESSADO,2026-05-04T07:11:46,Tempora accusamus natus molestias velit.
a02d7b79-c10e-4f75-abfc-929a65ea47fa,dff017e4-cf82-4d46-a4fc-146a133d81c1,12167.56,COMPRA_NAO_RECONHECIDA,NEGADO,2026-06-20T07:45:18,Quo architecto debitis quidem blanditiis dolor.
1940e5d3-37c6-45dd-92fa-cfa9db8d3253,98d5a2ea-38d6-435c-998e-bac99b509da8,12371.28,DUPLICIDADE,PROCESSADO,2026-02-27T18:15:17,Dolore earum libero autem mollitia.
693e7403-0821-4538-bb7b-acb17e121aa6,25365a98-0528-4da7-a338-7186e6dd663d,4807.61,CANCELAMENTO,PROCESSADO,2026-05-06T12:33:50,Doloremque neque porro non.
e2388bb0-ebd9-4253-b030-39793e50770b,f00357e3-178f-408f-936b-a860f0f2cba5,1881.14,COMPRA_NAO_RECONHECIDA,NEGADO,2026-07-25T23:12:28,Blanditiis neque facilis consequuntur repellendus eveniet.
6d8de455-441d-441c-98e5-b1b2cc5ef25c,20190230-4383-4049-8ce0-431a61e594ce,13843.22,PRODUTO_NAO_ENTREGUE,PROCESSADO,2026-04-09T18:17:15,Omnis recusandae beatae ea.
bdc635bc-f44d-4692-aece-d15e2cf021a5,5a4bf918-be7a-4a80-9dee-eb9aa2348a59,12100.25,COMPRA_NAO_RECONHECIDA,SOLICITADO,2026-06-06T21:50:45,Accusamus deserunt porro accusamus repellendus impedit.
dffba721-1a15-4bc9-9984-732ce0c4fa36,604b9375-7bfd-4dc8-afaf-2e7de63a97a7,5860.23,PRODUTO_NAO_ENTREGUE,PROCESSADO,2026-05-02T02:31:35,Id debitis architecto ratione harum accusamus.
6f835801-dde9-4950-962e-d8dfe92178e5,a6f8f20b-3694-4d65-8a58-23ef0b3307ce,141.78,PRODUTO_NAO_ENTREGUE,NEGADO,2026-03-23T14:05:01,Accusantium ratione voluptate sequi consectetur modi.
03114b35-94fd-4fbb-89ed-0ec898659104,bd8c0f6f-5b57-42a0-a196-4c52ee127b22,14110.92,PRODUTO_NAO_ENTREGUE,NEGADO,2026-04-13T19:07:19,Sequi tempore nemo dolor.
51af5c9b-b1ee-49ff-a11e-5f14ffa65ef2,08d14e91-0d4d-4c16-8fce-cfcdbb9fcba1,8715.52,PRODUTO_NAO_ENTREGUE,PROCESSADO,2026-07-19T04:01:21,Eos ad sit alias libero architecto suscipit quisquam.
e3be483e-9f09-4e21-b6fc-852c0e4a6aa3,4b6c369b-d55c-4853-b39d-51c8eca0c9a3,8371.1,CANCELAMENTO,PROCESSADO,2026-06-07T00:12:38,Inventore aliquid vel commodi dolorem quam saepe vero.
6cc60bdf-ae48-4e19-b89b-e10a53a8e793,dd0b5d69-9bd8-4adc-afc2-797fcc243eba,14096.47,CANCELAMENTO,NEGADO,2026-03-21T06:04:10,Ducimus aliquam quisquam soluta debitis voluptatibus.
39e4106b-8a3f-43dc-8d0c-3648c8ba85da,881ab050-4120-4fcc-9d8d-16a2d93df2e9,14814.81,PRODUTO_NAO_ENTREGUE,PROCESSADO,2026-03-26T22:23:21,Reprehenderit officiis assumenda voluptate velit quasi.
e1739c1d-5802-4a36-88be-8323d4dffa93,316ebd43-e734-47dd-96a5-128d089cf8f0,12423.9,PRODUTO_NAO_ENTREGUE,NEGADO,2026-05-07T08:34:04,Possimus assumenda velit nisi nam fugiat quam.
82b259fa-7a38-4146-84f9-2c9bdeab20e1,bf52292c-a012-4c01-8a91-14cb7d90a5e5,5302.81,CANCELAMENTO,SOLICITADO,2026-02-16T00:12:01,Quod velit non error ducimus.
dd946328-6957-4136-964e-ace8d7deb3a5,d607ebde-db20-4a95-ae51-d4f2b2eeea27,5462.81,PRODUTO_NAO_ENTREGUE,SOLICITADO,2026-04-04T14:44:17,Error beatae dolor tempora quo sit eos.
4dc7caa5-5efb-40a8-a05c-839be69221f8,b0824db0-533b-433a-aa2b-872882c19095,7959.05,PRODUTO_NAO_ENTREGUE,NEGADO,2026-02-21T11:41:29,Accusantium ipsa voluptatibus veritatis numquam quasi cum distinctio.
4890d0ba-2a8a-48bf-b36f-26da28cd51a4,1c9b26e0-a5e3-4d39-9785-9ec7967aaefd,14823.14,CANCELAMENTO,NEGADO,2026-04-09T15:40:39,Amet sit id cumque dolorem.
968fcf8f-636d-4a16-8220-b3fae66bbd31,0b726158-1a9e-4a74-a01e-50750e26ebd7,4021.84,COMPRA_NAO_RECONHECIDA,SOLICITADO,2026-05-16T15:23:01,Aspernatur ducimus nesciunt neque reiciendis eos.
d563beb9-a736-4b6d-874d-208b890dcb9f,e471e4d3-41ff-408c-96da-fa632b8a2871,6607.3,CANCELAMENTO,NEGADO,2026-02-14T23:22:20,Delectus commodi minima nihil ducimus.
ee3330b4-f16e-45a9-b4be-fdaaaef981ea,ee6cd61a-171c-4d20-9d4a-50c18fba651c,10559.26,PRODUTO_NAO_ENTREGUE,NEGADO,2026-03-29T01:50:49,Iste corporis cumque eligendi numquam laudantium porro totam.
a73032b7-bea7-409b-bb7e-f6cc17271035,79cb416f-e7d3-40e2-907a-dd62fd92e689,8332.88,DUPLICIDADE,PROCESSADO,2026-05-21T18:48:02,Doloribus deleniti temporibus dolor illum adipisci.
cd4a0177-dad9-4369-8943-e73289c86f5d,32ebabe6-4eb5-4fd9-83a3-3f31d8f6c6fe,6318.79,CANCELAMENTO,SOLICITADO,2026-03-20T15:35:37,Vel pariatur quasi delectus deleniti.
92f7d3ce-3884-49e5-acc7-058a90b0fec6,9b6953c7-d0ad-4566-ae5b-e6d3de92c13b,233.04,DUPLICIDADE,PROCESSADO,2026-03-28T02:37:24,Quia odio facere soluta adipisci.
