evento_risco_id,transacao_id,score_risco,nivel_risco,regra_acionada,decisao,data_hora_evento,detalhes,source_batch
047d0526-fad9-42dd-83e3-176446af9771,7a1a5738-c35e-4410-b2d7-4b41027675aa,38.29,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-19T15:33:41,Repellendus dolor quia ipsam officia earum explicabo eum.,batch_002
b8bf11c8-4f43-4d91-8488-92189b916386,17418304-158c-4b28-90bd-41ae9fb39de2,80.65,ALTO,DISPOSITIVO_DESCONHECIDO,REVISAR,2026-07-19T10:39:08,Temporibus error molestias quia mollitia sequi id.,batch_002
cc30b2dc-d94a-433c-8ea0-95589b4023a1,c7d9ee20-2e08-4f65-bc76-256793f4c5ec,37.69,BAIXO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-19T17:13:17,Architecto laboriosam dolores numquam debitis.,batch_002
5f4b187f-a31f-40c5-be2b-7065981e3168,df7bfa31-0da6-4ad4-90cf-cb1be5cb3ea4,44.15,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-25T08:44:07,Minus excepturi eaque deserunt culpa.,batch_002
69dc826d-6e12-4af7-8fdd-e9ccbf21e79c,8c6e817b-9920-45cf-a0e5-77ce5fad7c12,15.25,BAIXO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-22T14:27:52,Earum totam labore odit ullam.,batch_002
6fd13400-cfe9-4317-986e-485785d87eed,f2012c68-0ce6-45ae-ab8a-1b26f63fe956,10.9,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-23T10:01:28,Pariatur corrupti quisquam eligendi soluta.,batch_002
8fbfc1e8-52b8-47c6-89fa-4ef6f22900f6,8e19a148-a043-4030-97da-f1bb14d1d3f1,12.53,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-24T13:15:11,Omnis nesciunt voluptas dignissimos ipsum quibusdam odio.,batch_002
7a08a4db-6290-41ee-a166-03ead7a37d8b,1096554a-6611-4200-8685-c4a07a916764,8.24,BAIXO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-21T21:27:48,Minus voluptate officia voluptatem culpa a vel quod eveniet.,batch_002
0d4da250-3396-4b22-9bda-c962a0d3c226,50ef6adf-fd73-4061-83b4-3118b9a68d18,52.42,MEDIO,DISPOSITIVO_DESCONHECIDO,REVISAR,2026-07-25T17:11:09,Officiis quo accusantium dolores incidunt amet.,batch_002
ba77a5ce-5fdd-415d-a723-2fa9775b1c6e,fc9e95c2-37b5-4f88-afb9-2b4884271767,23.49,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-21T22:42:50,Ipsam tempore enim earum a quae.,batch_002
55a6562e-1d12-4dab-83ef-8d75cc4f5fc2,10c9cb3d-38ba-4f78-aad6-e087f67673ba,89.49,ALTO,VALOR_ATIPICO,APROVAR,2026-07-24T19:29:50,Perferendis aspernatur corporis necessitatibus possimus harum error consequatur ducimus.,batch_002
56d92953-25ab-43b0-b375-75815a7ee5be,1efeb8c2-09bb-453d-b3bb-9c05547a7b28,6.6,BAIXO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-20T10:06:04,Quibusdam numquam veniam deserunt numquam deleniti amet consectetur.,batch_002
f1f116a6-ea93-41c1-ba62-4faaf247a69c,a133cbd2-53d7-45b3-9014-91183e5d5270,18.5,BAIXO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-23T06:18:10,Perferendis ullam dolores natus optio repellendus ipsa dolorem.,batch_002
9dbd9c62-f7da-4211-badc-db64fa0e8c02,61579f04-48cb-404e-a944-4e8fd8b21a9b,48.86,MEDIO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-25T12:46:39,Reprehenderit doloremque laboriosam ipsum alias atque culpa amet dolore.,batch_002
f06ea6a9-772e-4123-9266-ff045d038b09,056ec197-0e58-4a6f-b2ff-cc788fac283b,97.2,ALTO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-19T05:55:29,Voluptate incidunt nisi odio ullam dolor labore porro velit.,batch_002
43b78d06-dec2-4c72-8369-bd1611c1a4fa,38d23f56-d9f1-49f8-b076-84dbf5809648,34.84,BAIXO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-19T19:08:10,Alias debitis ratione recusandae ea consectetur maiores culpa.,batch_002
a0940b99-43ac-4983-9554-93635266b604,1cc434d2-ec97-4f92-92cb-f88d4dbd10b3,37.79,BAIXO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-20T21:27:45,Distinctio sapiente voluptate doloribus dolores.,batch_002
df6f7b4d-4d1a-4a53-9bba-3d8124121cf9,449949ff-72da-47f5-b14b-ca5f5384ae12,83.84,ALTO,VALOR_ATIPICO,APROVAR,2026-07-23T18:43:01,Delectus incidunt ipsa possimus rem unde vel repellendus porro.,batch_002
09a99aa2-5c96-4a64-b60e-e9b8f8fa5e54,093b007b-c403-463c-a3b6-5ae34aebd22b,51.27,MEDIO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-25T19:48:04,Tempora expedita aliquid error ratione eveniet.,batch_002
d73babc6-42c9-4e3c-adaa-9708869e8525,ddd822f8-3f56-4495-89b7-5b991ffd2b2c,98.39,ALTO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-21T09:16:05,Alias vel eos ea sit fugiat suscipit porro occaecati nostrum libero.,batch_002
fa567c16-30f7-4c13-be03-0f774a3b3623,7d4f81bb-cec6-4bb9-916a-6e4e4056b69d,82.3,ALTO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-20T20:23:54,Nostrum excepturi minima porro adipisci.,batch_002
47af4b5f-9752-40cd-a901-d2ffab33dae5,ce6dd89a-0ebc-45fe-bf0c-b1d252cc0547,52.45,MEDIO,MULTIPLAS_TENTATIVAS,APROVAR,2026-07-25T07:10:17,Vero voluptatibus voluptatem velit ad quisquam provident et dignissimos perspiciatis.,batch_002
0971bdad-558c-4c1b-bb01-c829296cc083,f1ebaff4-e3de-4f5a-b065-07b18abfdcd3,85.92,ALTO,VALOR_ATIPICO,REVISAR,2026-07-19T04:17:12,Ratione quia iure cumque nobis provident iure exercitationem.,batch_002
17cdfea4-80e0-445c-8f55-af2033649835,a06923b1-d193-41da-930a-1f1d3c278b22,32.75,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-21T10:30:35,Facere atque exercitationem assumenda odit eveniet eveniet illum.,batch_002
9b4183c1-33d0-4eaa-8fc5-e4bfe040daca,7152f015-7e64-48a0-a5f2-0f71a98fa60c,7.5,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-22T08:17:01,Possimus nesciunt ipsa esse atque laboriosam odio minima sed nihil.,batch_002
265c1942-1e5c-49b4-92d7-4709bad56eb1,249c546a-dae6-46b5-a21a-14141222c45b,75.25,ALTO,VALOR_ATIPICO,BLOQUEAR,2026-07-24T12:16:07,Iure autem atque eligendi asperiores in esse totam architecto consequatur.,batch_002
3e6ad2a3-65ab-46e2-b4ba-0a285a432a36,1862d02a-85b4-492b-b7cb-17b1ce6bc072,42.57,MEDIO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-21T16:33:50,Praesentium beatae quis praesentium nesciunt odio perspiciatis iusto voluptatum tenetur.,batch_002
928520ff-3995-401e-bba7-b029d0edc1cf,9d90727e-e054-4f46-aa98-614058a0a5d3,70.26,MEDIO,LOCALIZACAO_DIVERGENTE,REVISAR,2026-07-22T10:33:12,Deserunt dignissimos tenetur officiis animi rerum sunt blanditiis mollitia.,batch_002
01ca41d4-b0e9-43f3-8992-4ed8e10b669d,3619bd74-4a5e-4832-ae79-7dbb929255e2,69.43,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-21T07:33:25,Iure laborum corporis molestias voluptatum ea quae sapiente consequuntur ea.,batch_002
4b455797-81a9-47fe-bb3f-6c63f2d596ab,11325b69-b87f-42cd-babb-dbac016b9bc9,58.46,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-20T21:13:28,Accusamus reiciendis eaque repudiandae ab.,batch_002
c8ff970d-f705-4c81-a2c7-ced7f5247fac,5a3ff4ba-70a1-4714-b96f-ef4d64224247,80.44,ALTO,VALOR_ATIPICO,BLOQUEAR,2026-07-22T21:11:13,Suscipit dolore voluptates et.,batch_002
5a172924-4bf9-4ff7-b2a5-6b26c091036f,295db749-ff07-41a7-8446-2d3d153c7cee,19.36,BAIXO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-21T17:39:33,Sint assumenda ratione doloremque quam fuga nobis distinctio dolorum perferendis.,batch_002
41fb8df8-4b9d-4acd-9b20-2632d73d8ed3,1336c708-2fd8-498d-a927-dda03ebf30fc,33.89,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-20T04:41:34,Animi repellat dolorem officiis dignissimos repellendus nemo illo iusto architecto.,batch_002
6f20fdfa-0e2a-4317-89d8-07230079a295,eb8e7b24-3be7-41d6-b4c7-478e12c70ad9,9.41,BAIXO,DISPOSITIVO_DESCONHECIDO,REVISAR,2026-07-23T13:12:31,Illo blanditiis error blanditiis omnis quam dignissimos.,batch_002
d21b197e-379f-449a-8f4e-935264a7c248,f836b2e5-88da-4856-b767-d88e58b2f628,20.84,BAIXO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-19T12:36:24,Corporis accusamus fugit voluptatem deserunt odio.,batch_002
decb99bd-e36d-4346-9044-389c596fa166,fbcdf085-e9ff-4891-b782-b8177fd58fac,85.73,ALTO,LOCALIZACAO_DIVERGENTE,REVISAR,2026-07-25T10:01:58,Autem totam quae eos nesciunt.,batch_002
70a1ce67-04ed-48b3-bf06-1a799e13b0f5,7811610b-657e-493e-bad9-234b2f1cfba9,30.37,BAIXO,DISPOSITIVO_DESCONHECIDO,REVISAR,2026-07-23T09:29:07,Dicta repellendus molestiae dolorum doloribus placeat dicta aliquam qui aspernatur.,batch_002
