evento_risco_id,transacao_id,score_risco,nivel_risco,regra_acionada,decisao,data_hora_evento,detalhes,source_batch,modelo_risco,versao_modelo
6a251a1b-505e-4ca4-90c6-3a311e24cdd5,0dc9ea8d-b294-4995-ba10-da9628ea123f,33.09,BAIXO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-19T02:17:44,Inventore tempora voluptate dolore quos illum sapiente eum perferendis ipsam.,batch_003,risk_model_v2,2.0
2f1957b8-9586-456b-b95d-31246a25c197,5ae54beb-99c1-4455-b388-cceb2ee62fd9,32.62,BAIXO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-19T21:58:51,Tempore ipsam fugit illum tenetur dolor reprehenderit reprehenderit adipisci.,batch_003,risk_model_v2,2.0
01ca41d4-b0e9-43f3-8992-4ed8e10b669d,3619bd74-4a5e-4832-ae79-7dbb929255e2,69.43,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-21T07:33:25,Iure laborum corporis molestias voluptatum ea quae sapiente consequuntur ea.,batch_003,risk_model_v2,2.0
69dc826d-6e12-4af7-8fdd-e9ccbf21e79c,8c6e817b-9920-45cf-a0e5-77ce5fad7c12,15.25,BAIXO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-22T14:27:52,Earum totam labore odit ullam.,batch_003,risk_model_v2,2.0
a601f09c-40d1-424d-9096-06baf53c28d4,c57efa1a-7d91-40dd-86f1-267c7acb8c5c,12.2,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-21T09:47:07,Rem ducimus alias voluptas occaecati aliquid est.,batch_003,risk_model_v2,2.0
c8ff970d-f705-4c81-a2c7-ced7f5247fac,5a3ff4ba-70a1-4714-b96f-ef4d64224247,80.44,ALTO,VALOR_ATIPICO,BLOQUEAR,2026-07-22T21:11:13,Suscipit dolore voluptates et.,batch_003,risk_model_v2,2.0
94cd5c80-aeda-41f4-ab05-cfd7151e3d88,256d0732-692e-4df8-ba63-42c6133607cc,39.48,BAIXO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-25T09:16:29,Qui nesciunt dolorum voluptatem laborum earum quo quidem perspiciatis amet.,batch_003,risk_model_v2,2.0
4b455797-81a9-47fe-bb3f-6c63f2d596ab,11325b69-b87f-42cd-babb-dbac016b9bc9,58.46,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-20T21:13:28,Accusamus reiciendis eaque repudiandae ab.,batch_003,risk_model_v2,2.0
5f4b187f-a31f-40c5-be2b-7065981e3168,df7bfa31-0da6-4ad4-90cf-cb1be5cb3ea4,44.15,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-25T08:44:07,Minus excepturi eaque deserunt culpa.,batch_003,risk_model_v2,2.0
1d57400a-f714-4d5c-83ae-92cd12951254,22f9019c-e538-46ec-b65f-a7fb0858f1a4,59.96,MEDIO,VALOR_ATIPICO,APROVAR,2026-07-19T23:19:57,Quia dolorum nam quasi soluta occaecati expedita magnam ut ratione.,batch_003,risk_model_v2,2.0
50112a00-e8fa-443d-b734-589451dfbfec,1014a514-5532-47a3-b1ac-62e8a6e5d3a2,43.44,MEDIO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-20T00:18:57,Sint quisquam rerum qui impedit placeat accusamus voluptates.,batch_003,risk_model_v2,2.0
4df1b294-2176-4418-80b3-97876ce5b7cf,a30ce75d-9de6-4526-b7c7-aba2728c710c,40.1,MEDIO,MULTIPLAS_TENTATIVAS,REVISAR,2026-07-25T02:20:30,Quisquam est magni accusantium tenetur.,batch_003,risk_model_v2,2.0
c82560f2-e78b-445d-a6c8-2142158f42f0,f7562640-78f0-43d6-8aef-0810a411f595,97.26,ALTO,LOCALIZACAO_DIVERGENTE,APROVAR,2026-07-19T12:12:55,Quia numquam minima maxime expedita ipsa asperiores beatae labore assumenda.,batch_003,risk_model_v2,2.0
47af4b5f-9752-40cd-a901-d2ffab33dae5,ce6dd89a-0ebc-45fe-bf0c-b1d252cc0547,52.45,MEDIO,MULTIPLAS_TENTATIVAS,APROVAR,2026-07-25T07:10:17,Vero voluptatibus voluptatem velit ad quisquam provident et dignissimos perspiciatis.,batch_003,risk_model_v2,2.0
0072d930-e2ae-4ae0-b3ae-0d9e60ed30c6,8e2c0f33-caf3-4df4-a99e-0b68db43f67f,98.01,ALTO,DISPOSITIVO_DESCONHECIDO,REVISAR,2026-07-19T18:49:55,Veniam aspernatur accusamus iure accusamus molestias quia quae amet alias ex.,batch_003,risk_model_v2,2.0
1d98e4d6-40a6-404c-a947-0faa83405af2,c8ddfaa6-2769-4628-998d-ffec98509aca,3.06,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-22T08:50:42,Rerum exercitationem corporis aliquid perspiciatis tempora ut repudiandae.,batch_003,risk_model_v2,2.0
b78f512e-98ae-4057-86fe-45c8aecc151a,ac14ffd9-16a8-497f-8522-3f3fc784303c,72.77,MEDIO,DISPOSITIVO_DESCONHECIDO,BLOQUEAR,2026-07-19T18:45:02,Perferendis possimus voluptatem doloribus voluptatem.,batch_003,risk_model_v2,2.0
e8fa85d6-1892-4fd2-b04a-3b04a4a7d9bc,d6a2c440-c6c6-434f-a910-b3ffd4eeac50,20.72,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-21T04:06:53,Similique iste ducimus est cumque numquam unde officia doloremque exercitationem.,batch_003,risk_model_v2,2.0
d4ea9f2f-fa9e-49d7-aaf9-91b9652d42a1,4a96eff8-d0b0-4e15-9959-19ea0d7c4fe9,81.82,ALTO,DISPOSITIVO_DESCONHECIDO,REVISAR,2026-07-20T16:37:19,Minus a praesentium architecto iusto.,batch_003,risk_model_v2,2.0
3153e864-212a-4308-a61e-879a0db7eb43,6603f074-3c37-469e-81c1-751f275d0ab3,90.24,ALTO,DISPOSITIVO_DESCONHECIDO,BLOQUEAR,2026-07-20T01:28:00,Laboriosam quod qui beatae nostrum aperiam possimus minus eveniet neque.,batch_003,risk_model_v2,2.0
c43c4586-af79-4de6-94a0-0bd29ad59e27,48f5af54-fe54-4c46-85ae-799bd04423d8,83.88,ALTO,MULTIPLAS_TENTATIVAS,APROVAR,2026-07-21T21:15:14,Repellendus nihil et praesentium exercitationem rem.,batch_003,risk_model_v2,2.0
61be04d2-546f-46e0-a059-a519c8ed6239,45fff74c-9d5e-4a25-acff-a7ad1e86f85d,62.08,MEDIO,LOCALIZACAO_DIVERGENTE,BLOQUEAR,2026-07-23T18:45:29,Molestiae officia optio quidem non.,batch_003,risk_model_v2,2.0
5901d625-8ad1-4fab-af6e-aacb68e6b642,a3ddcdab-d427-4ae3-9b18-cd7eb19f12d1,74.94,MEDIO,DISPOSITIVO_DESCONHECIDO,BLOQUEAR,2026-07-22T08:19:00,Ullam repellendus maiores vel exercitationem perferendis eum expedita.,batch_003,risk_model_v2,2.0
83541766-db48-46ce-8552-0c2eefad2d97,7000bfd6-5731-45ed-8316-8ec0c26960ad,14.1,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-24T20:43:58,Dolor a vitae optio fugiat temporibus ipsum.,batch_003,risk_model_v2,2.0
8653e52f-11db-4957-b715-4c4537078241,c76ec392-75de-4438-b4bc-1f3b166860ec,35.86,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-21T13:33:17,Ex necessitatibus culpa delectus similique vel architecto similique minima delectus.,batch_003,risk_model_v2,2.0
9bcefed9-89ef-48a4-af1d-c67886601b57,e47f1f36-961f-44f6-81c8-714de98309dd,9.34,BAIXO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-24T20:56:57,Impedit excepturi eos ipsam laudantium omnis.,batch_003,risk_model_v2,2.0
5dbd4994-16f6-4482-8c14-f98df346f09d,86c9aafc-8c25-44c5-9ca2-0b8b5f63caac,9.34,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-22T13:52:08,Pariatur id laborum enim eius magni laudantium possimus.,batch_003,risk_model_v2,2.0
8cddfa6a-0f25-45dc-ba55-20acb0f47e19,bcf93c1e-7eb9-4b61-97d9-0b9318c70bd2,86.1,ALTO,DISPOSITIVO_DESCONHECIDO,APROVAR,2026-07-19T00:54:03,In voluptates excepturi amet quia nobis.,batch_003,risk_model_v2,2.0
17cdfea4-80e0-445c-8f55-af2033649835,a06923b1-d193-41da-930a-1f1d3c278b22,32.75,BAIXO,VALOR_ATIPICO,BLOQUEAR,2026-07-21T10:30:35,Facere atque exercitationem assumenda odit eveniet eveniet illum.,batch_003,risk_model_v2,2.0
ba77a5ce-5fdd-415d-a723-2fa9775b1c6e,fc9e95c2-37b5-4f88-afb9-2b4884271767,23.49,BAIXO,VALOR_ATIPICO,APROVAR,2026-07-21T22:42:50,Ipsam tempore enim earum a quae.,batch_003,risk_model_v2,2.0
d7bcf765-e658-4c5a-b160-f99ce4601c5b,6391c3f0-a020-425b-962d-364b89a2c3b1,41.35,MEDIO,VALOR_ATIPICO,BLOQUEAR,2026-07-22T16:04:59,Ratione hic perspiciatis eligendi qui natus at praesentium quasi doloremque.,batch_003,risk_model_v2,2.0
7a08a4db-6290-41ee-a166-03ead7a37d8b,1096554a-6611-4200-8685-c4a07a916764,8.24,BAIXO,MULTIPLAS_TENTATIVAS,BLOQUEAR,2026-07-21T21:27:48,Minus voluptate officia voluptatem culpa a vel quod eveniet.,batch_003,risk_model_v2,2.0
